X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.205820056808,33.9461779674657,706,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - South Gate School",9722 San Antonio Ave.,,South Gate,CA,,"FAX (323) 563-7497,  Service/Intake (323) 563-7442",www.seacharter.org/,,,922,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90280,http://egis3.lacounty.gov/lms/?p=922,publish,33.946178,-118.20582,2013/06/01 11:50:56+00,,,6499245.95972081,1802857.30007389
-118.289748056498,33.9601999666035,1849,211,,Education,Private and Charter Schools,,www.childrenscollective.org,Children's Collective Inc - Rita Walters Learning Complex,915 W. Manchester Ave.,,Los Angeles,CA,Monday through Friday hours vary. ,"FAX (323) 789-4719,  Service/Intake (323) 789-4717",www.childrenscollective.org,,,2004,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90044,http://egis3.lacounty.gov/lms/?p=2004,publish,33.9602,-118.289748,2013/06/01 11:50:56+00,,,6473805.70745181,1808022.93672423
-118.28890905671,34.0584989664825,55239,211,,Education,Private and Charter Schools,,www.green1004.info,Green Pastures Youth Center,760 S. Westmoreland Ave.,,Los Angeles,CA,,"Service/Intake and Administration (213) 639-1890, Main Line: English and Korean Service/Intake and Administration (661) 268-1973,  Service/Intake (213) 381-1004,  FAX (661) 268-1979",www.green1004.info,,,57392,The agency provides education services and youth services for Korean-American youth and their families.,90005,http://egis3.lacounty.gov/lms/?p=57392,publish,34.058499,-118.288909,2013/06/01 11:50:56+00,,,6474162.94722289,1843795.0623583
-118.16261155646,34.1794417970912,55253,211,,Education,Private and Charter Schools,,www.obainc.org,Outward Bound Adventures,1905 Lincoln Ave,,Pasadena,CA,"Monday through Friday, 9:00am to 5:30pm. ","FAX (626) 564-0904,  Service/Intake and Administration (626) 564-0844",www.obainc.org,,,57402,The agency provides education services for youth based on environmental and outdoor careers.,91103,http://egis3.lacounty.gov/lms/?p=57402,publish,34.17944183,-118.1626115,2013/06/01 11:50:56+00,,,6512488.23507348,1887722.43283673
-118.186265056314,33.854570967468,55554,211,,Education,Private and Charter Schools,,www.seacharter.org/,"Soledad Enrichment Action, Inc. - North Long Beach School",495 E. Market St.,,Long Beach,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","Service/Intake (562) 728-6683,  FAX (562) 728-6686",www.seacharter.org/,,,57579,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90805,http://egis3.lacounty.gov/lms/?p=57579,publish,33.854571,-118.186265,2013/06/01 11:50:56+00,,,6505115.12908481,1769507.85824272
-118.466482655659,34.2293052865394,55556,211,,Education,Private and Charter Schools,,www.seacharter.org/,"Soledad Enrichment Action, Inc. - North Hills School",8767 Parthenia Pl,,North Hills,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","Service/Intake (818) 894-0182,  FAX (818) 894-1735",www.seacharter.org/,,,57580,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",91343,http://egis3.lacounty.gov/lms/?p=57580,publish,34.22930532,-118.4664826,2013/06/01 11:50:56+00,,,6420666.62409763,1906156.05935523
-118.215564056318,34.0348619673987,55558,211,,Education,Private and Charter Schools,,www.seacharter.org/,"Soledad Enrichment Action, Inc. - Soto",735 S. Soto St.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","FAX (323) 262-4656,  Service/Intake (323) 262-8506",www.seacharter.org/,,,57581,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90023,http://egis3.lacounty.gov/lms/?p=57581,publish,34.034862,-118.215564,2013/06/01 11:50:56+00,,,6496359.86017805,1835137.37002806
-118.272338056529,34.0506119666707,58723,211,,Education,Private and Charter Schools,,www.CatholicCharitiesLA.org,Catholic Charities - Los Angeles Inc,1531 James M. Wood Blvd.,,Los Angeles,CA,,"Service/Intake (213) 251-3411,  Service/Intake and Administration (213) 251-3400,  FAX (213) 380-4603, Vehicle Donation Program Service/Intake (213) 251-3494, Vehicle Donation Program Service/Intake (213) 251-3498, RITE Refugee Employment Progra Service/I",www.CatholicCharitiesLA.org,,,60119,The organization provides administrative support for a variety of social and community services for people of all ages.,90015,http://egis3.lacounty.gov/lms/?p=60119,publish,34.050612,-118.272338,2013/06/01 11:50:56+00,,,6479174.33319747,1840910.82829739
-118.293029056033,34.0616569671346,58857,211,,Education,Private and Charter Schools,,www.ayela.org,Catholic Charities Of Los Angeles - Archdiocesan Youth Employment Services,3250 Wilshire Blvd.,,Los Angeles,CA,"Monday through Friday, 8:30am to 5:00pm. ","Receptionist Service/Intake (213) 736-5456,  FAX (213) 736-5654, 888-INFO-AYE Service/Intake (888) 463-6293",www.ayela.org,,,60200,The organization provides year-round city and county WIA Youth Employment Programs for youth age 14 through 21.,90010,http://egis3.lacounty.gov/lms/?p=60200,publish,34.061657,-118.293029,2013/06/01 11:50:56+00,,,6472918.39820281,1844947.92717856
-118.174978055911,33.7899989671582,59033,211,,Education,Private and Charter Schools,,www.lbcc.edu,Long Beach City College - Pacific Coast Campus - Child Development Center,1305 E. Pacific Coast Highway,,Long Beach,CA,,"Preschool/Child Care Service/Intake (562) 938-3079, Parent Participation/Preschool/Child Care Service/Intake (562) 938-3079, Foster &amp; Kinship Care Education Service/Intake (562) 938-3014",www.lbcc.edu,,,60341,The program provides early childhood education and foster family services.,90806,http://egis3.lacounty.gov/lms/?p=60341,publish,33.789999,-118.174978,2015/03/11 12:28:22+00,,,6508501.26470096,1746002.28025398
-118.043818757174,33.9523982574267,62277,211,,Education,Private and Charter Schools,,,Whittier Union High School District - Sierra Vista High School,9401 Painter Ave,,Whittier,CA,"Monday through Friday, 8:00am to 3:30pm. ",Service/Intake (562) 698-8121 Ext.1330,www.wuhsd.org,,,70032,"This district administers comprehensive education services for students in grades 9 through 12 and adult education for those who reside in the school district boundaries which include all of Whittier and portions of Santa Fe Springs, Norwalk, La Mirada, La Puente, and Downey.",90605,http://egis3.lacounty.gov/lms/?p=70032,publish,33.95239829,-118.0438187,2010/11/01 11:50:56+00,,,6548381.27450772,1805059.98792572
-118.570705955497,34.1828345368124,63294,211,,Education,Private and Charter Schools,,,Los Angeles Unified School District - Van Nuys Service Center - West Valley Occupational Center,6200 Winnetka Ave,,Woodland Hills,CA,"Monday through Thursday, 8:00am to 8:30pm; Friday, 8:00am to 4:00pm; Saturday, 8:00am to 12:00pm. ","Alternative Education Work Ctr Service/Intake (818) 346-3540 Ext.254, Adults with Disabilities       Service/Intake (818) 346-3546 Ext.253,  Service/Intake and Administration (818) 346-3540, Counseling/Registration Service/Intake (818) 346-3540 Ext.281 or",www.wvoc.net,,,70618,The center provides adult education services and job training programs for people in Los Angeles County.,91367,http://egis3.lacounty.gov/lms/?p=70618,publish,34.18283457,-118.5707059,2010/11/01 11:50:56+00,,,6389067.33591838,1889407.32021497
-118.428499056597,34.261709356525,63306,211,,Education,Private and Charter Schools,,,Los Angeles Unified School District - North Valley Service Area Of Adult And Career Education Schools - Pacoima Skills Center,13545 Van Nuys Blvd,,Pacoima,CA,"Monday through Thursday, 7:00am to 8:45pm; Friday, 7:00am to 4:00pm; Saturday, 7:00am to 10:45am. ","Service/Intake (818) 896-9558,  FAX (818) 899-7087",lausd.k12.ca.us/Pacoima_Skills_Ctr,,,70623,"The center provides adult education for adults in Los Angeles County; for adolescents, age 16 through 18, who are enrolled in the Los Angeles Unified School District; and for TANF recipients participating in the CalWORKS program.",91331,http://egis3.lacounty.gov/lms/?p=70623,publish,34.26170939,-118.428499,2010/11/01 11:50:56+00,,,6432198.12432855,1917897.26782815
-118.004818756254,33.8877841475216,63809,211,,Education,Private and Charter Schools,,,Norwalk - La Mirada Adult School - La Mirada,15920 Barbata Rd,,La Mirada,CA,"Monday, Tuesday, Thursday, 7:30am to 5:30pm; Wednesday, 7:30am to 8:30pm; Friday, 8:00am to 3:00pm. ",La Mirada Adult Center Service/Intake (714) 670-9279,www.nlmas.org,,,70845,"The school provides adult education services primarily for residents of Norwalk, La Mirada and nearby areas, however there are no geographical restrictions.",90638,http://egis3.lacounty.gov/lms/?p=70845,publish,33.88778418,-118.0048187,2010/11/01 11:50:56+00,,,6560207.82008031,1781542.58318898
-118.246785156006,34.113947936422,64907,211,,Education,Private and Charter Schools,,,Catholic Charities Of Los Angeles - Archdiocesan Youth Employment Services - Van De Kamp Office,2930 N Fletcher Dr,2nd Fl.,Los Angeles,CA,"Monday through Friday, 8:30am to 5:00pm. ",Rosalinda Montoya Service/Intake (323) 825-2651,www.ayela.org,,,71453,The organization provides year-round city and county WIA Youth Employment Programs for youth age 14 through 21.,90065,http://egis3.lacounty.gov/lms/?p=71453,publish,34.11394797,-118.2467851,2010/11/01 11:50:56+00,,,6486971.33039872,1863939.93348581
-118.172146956347,33.7901251371715,65213,211,,Education,Private and Charter Schools,,,Long Beach City College - Pacific Coast Campus - Multidisciplinary Student Success Center,1305 E Pacific Coast Hwy,Rm. LL-206,Long Beach,CA,"Monday through Thursday, 8:00am to 9:00pm; Friday, 8:00am to 2:00pm; Saturday, 10:00am to 2:00pm. ",Service/Intake (562) 938-3991,www.lbcc.edu,,,71624,"The campus offers employment services, post-secondary education and services for older adults who are age 18 and older or who have a high school diploma.",90806,http://egis3.lacounty.gov/lms/?p=71624,publish,33.79012517,-118.1721469,2010/11/01 11:50:56+00,,,6509361.60451572,1746046.71159557
-118.343661255773,34.0254118866971,65338,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Crenshaw",4324 W Jefferson Blvd,,Los Angeles,CA,"Monday through Friday, 8:00am to 4:00pm. ","Service/Intake (323) 735-6920,  FAX (323) 735-6966",www.seacharter.org/,,,71683,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90022,http://egis3.lacounty.gov/lms/?p=71683,publish,34.02541192,-118.3436612,2010/11/01 11:50:56+00,,,6457537.99654897,1831806.27629656
-118.197973856473,34.1067682966426,65342,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Highland Park",5306 N Figueroa St,,Highland Park,CA,"Monday through Friday, 8:00am to 4:00pm. ","Service/Intake (323) 982-9743,  FAX (323) 982-0537",www.seacharter.org/,,,71684,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90042,http://egis3.lacounty.gov/lms/?p=71684,publish,34.10676833,-118.1979738,2010/11/01 11:50:56+00,,,6501740.77920622,1861294.44796315
-118.281598956134,34.0587684068433,65343,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Charter School Administrative Office",2501 W 7Th St,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm. ","Service/Intake (213) 632-0165,  FAX (213) 632-0249",www.seacharter.org/,,,71685,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90057,http://egis3.lacounty.gov/lms/?p=71685,publish,34.05876844,-118.2815989,2010/11/01 11:50:56+00,,,6476377.3656943,1843886.83317214
-118.248860056255,34.0423799666266,68056,DOE Public Schools,19101990106880,Education,Private and Charter Schools,,Los Angeles County Office of Education,Jardin de la Infancia,307 East Seventh Street,,Los Angeles,CA,,(213) 614-1745,,,,77000,,90014,http://egis3.lacounty.gov/lms/?p=77000,publish,34.04238,-118.24886,2015/11/16 18:53:23+00,lasfamilias@earthlink.net,,6486278.80258431,1837896.61385339
-118.196610056649,33.9842099671902,68057,DOE Public Schools,19101990109660,Education,Private and Charter Schools,,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,6100 Carmelita Avenue,,Huntington Park,CA,,(323) 585-1153,www.aspirepublicschools.org,,,77001,,90255,http://egis3.lacounty.gov/lms/?p=77001,publish,33.98421,-118.19661,2015/11/16 18:53:23+00,data-contact@aspirepublicschools.org,,6502066.3832138,1816692.34031714
-118.182660056156,34.1023099667909,68058,DOE Public Schools,19101990109942,Education,Private and Charter Schools,,Los Angeles County Office of Education,Los Angeles International Charter High School,625 Coleman Avenue,,Los Angeles,CA,,(323) 257-1499,www.laicharter.org,,,77002,,90042,http://egis3.lacounty.gov/lms/?p=77002,publish,34.10231,-118.18266,2015/11/16 18:53:23+00,cliffordmoseley@laicharter.org,,6506373.53568871,1859663.20417839
-118.226710056857,33.9901199672198,68059,DOE Public Schools,19101990112128,Education,Private and Charter Schools,,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,2540 East 58th Street,,Huntington Park,CA,,(323) 277-2901,www.aspirepublicschools.org,,,77003,,90255,http://egis3.lacounty.gov/lms/?p=77003,publish,33.99012,-118.22671,2015/11/16 18:53:23+00,delphine.sherman@aspirepublicschools.org,,6492946.18459073,1818862.32121339
-118.289780056349,33.8806199673224,68061,DOE Public Schools,19101990121772,Education,Private and Charter Schools,,Los Angeles County Office of Education,Environmental Charter Middle School,812 West 165th Place,,Gardena,CA,,(310) 425-1605,www.ecmsgardena.org,,,77005,,90247,http://egis3.lacounty.gov/lms/?p=77005,publish,33.88062,-118.28978,2015/11/16 18:53:23+00,robert_gloria@esconline.org,,6473712.51374055,1779062.11374047
-118.222850056058,33.9161799667029,68083,DOE Public Schools,19101990124925,Education,Private and Charter Schools,,Los Angeles County Office of Education,Celerity Sirius Charter,310 East El Segundo Boulevard,,Compton,CA,,(310) 764-1234,http://celerityschools.org,,,77027,,90222,http://egis3.lacounty.gov/lms/?p=77027,publish,33.91618,-118.22285,2015/11/16 18:53:23+00,jrios@celerityschools.org,,6494056.63545381,1791951.39668889
-118.39073005587,33.9604199670873,68084,DOE Public Schools,19101990127274,Education,Private and Charter Schools,,Los Angeles County Office of Education,Westchester Secondary Charter,8540 La Tijera Blvd,,Los Angeles,CA,,(310) 216-6800,www.westchestercharter.org,,,77028,,90045,http://egis3.lacounty.gov/lms/?p=77028,publish,33.96042,-118.39073,2015/11/16 18:53:23+00,jlandonsm@gmail.com,,6443183.86974546,1808206.65059565
-118.33578005583,33.9304299673564,68085,DOE Public Schools,19101990127498,Education,Private and Charter Schools,,Los Angeles County Office of Education,Environmental Charter Middle School - Inglewood,3600 West Imperial Highway,,Inglewood,CA,,(310) 425-1605,www.ecsonline.org,,,77029,,90303,http://egis3.lacounty.gov/lms/?p=77029,publish,33.93043,-118.33578,2015/11/16 18:53:23+00,beth_bernstein@ecsonline.org,,6459810.59305364,1797232.47438131
-118.18799005627,34.128769966741,68086,DOE Public Schools,19101990127522,Education,Private and Charter Schools,,Los Angeles County Office of Education,Optimist Charter,6957 North Figueroa Street,,Los Angeles,CA,,(323) 443-3100,www.oyhfs.org,,,77030,,90042,http://egis3.lacounty.gov/lms/?p=77030,publish,34.12877,-118.18799,2015/11/16 18:53:23+00,ldeyoung@oyhfs.org,,6504777.99130763,1869295.44738106
-118.206680056427,33.954989966663,68087,DOE Public Schools,19101990132605,Education,Private and Charter Schools,,Los Angeles County Office of Education,Valiente College Preparatory Charter,8691 California Avenue,,South Gate,CA,,(323) 393-5475,www.valientecollegeprep.org,,,77031,,90280,http://egis3.lacounty.gov/lms/?p=77031,publish,33.95499,-118.20668,2015/11/16 18:53:23+00,jwertz@valientecollegeprep.org,,6498991.71941563,1806064.7070449
-118.2866400564,34.0756499664677,68092,DOE Public Schools,19101991996008,Education,Private and Charter Schools,,Los Angeles County Office of Education,Soledad Enrichment Action Charter High School,222 North Virgil Avenue,,Los Angeles,CA,,(213) 480-4200,www.seacharter.net,,,77036,,90004,http://egis3.lacounty.gov/lms/?p=77036,publish,34.07565,-118.28664,2015/11/16 18:53:23+00,mgodinez@seacharter.net,,6474867.99929047,1850034.64764814
-118.161120056286,34.1997799667748,68095,DOE Public Schools,19101996116883,Education,Private and Charter Schools,,Los Angeles County Office of Education,Odyssey Charter,725 West Altadena Drive,,Altadena,CA,,(626) 229-0993,www.odysseycharterschool.org,,,77039,,91001,http://egis3.lacounty.gov/lms/?p=77039,publish,34.19978,-118.16112,2015/11/16 18:53:23+00,laureno@ocsmail.org,,6512951.20461997,1895123.12472823
-118.235440056524,34.2210399662464,68130,DOE Public Schools,19642460115337,Education,Private and Charter Schools,,Antelope Valley Union High,Los Angeles County Online High School,"2600 Foothill Boulevard, #301",,La Crescenta,CA,,(800) 985-0770,www.olinacademy.org,,,77074,,91214,http://egis3.lacounty.gov/lms/?p=77074,publish,34.22104,-118.23544,2015/11/16 18:53:23+00,info@olinacademy.org,,6490496.63798064,1902904.32996631
-118.241580057158,34.6601199659079,68131,DOE Public Schools,19642460126003,Education,Private and Charter Schools,,Antelope Valley Union High,Academies of the Antelope Valley,6300 West Avenue L,,Quartz Hill,CA,,(661) 948-7655 x230,www.avdistrict.org,,,77075,,93536,http://egis3.lacounty.gov/lms/?p=77075,publish,34.66012,-118.24158,2015/11/16 18:53:23+00,cgrado@avhsd.org,,6489024.54414006,2062699.08813205
-118.16554005772,34.6843899655826,68141,DOE Public Schools,19642461996537,Education,Private and Charter Schools,,Antelope Valley Union High,Desert Sands Charter,44130 20th Street West,,Lancaster,CA,,(661) 942-3357,www.dschs.org,,,77085,,93534,http://egis3.lacounty.gov/lms/?p=77085,publish,34.68439,-118.16554,2015/11/16 18:53:23+00,ctuinstra@dschs.org,,6511905.13190897,2071485.34779048
-118.078680057108,34.1521599665679,68174,DOE Public Schools,19642870114397,Education,Private and Charter Schools,,Baldwin Park Unified,Opportunities For Learning - Baldwin Park II,320 North Halstead Street Suite 220,,Pasadena,CA,,(626) 962-3311 x4212,,,,77118,,91107,http://egis3.lacounty.gov/lms/?p=77118,publish,34.15216,-118.07868,2015/11/16 18:53:23+00,jfranco@emsofl.com,,6537865.66364922,1877763.61449981
-118.078680057108,34.1521599665679,68179,DOE Public Schools,19642871996479,Education,Private and Charter Schools,,Baldwin Park Unified,Opportunities for Learning - Baldwin Park,320 North Halstead Street Suite 220,,Pasadena,CA,,(626) 814-0161,,,,77123,,91107,http://egis3.lacounty.gov/lms/?p=77123,publish,34.15216,-118.07868,2015/11/16 18:53:23+00,jfranco@emsofl.com,,6537865.66364922,1877763.61449981
-118.328840055909,34.1815299668517,68250,DOE Public Schools,19643371996099,Education,Private and Charter Schools,,Burbank Unified,Options for Youth-Burbank Charter,1610 West Burbank Boulevard,,Burbank,CA,,(818) 566-7525,,,,77194,,91506,http://egis3.lacounty.gov/lms/?p=77194,publish,34.18153,-118.32884,2015/11/16 18:53:23+00,jfranco@ofy.org,,6462214.79690664,1888605.25488998
-118.364800055426,33.8946999674402,68272,DOE Public Schools,19643520128488,Education,Private and Charter Schools,,Centinela Valley Union High,Family First Charter,4953 Marine Avenue,,Lawndale,CA,,(310) 355-0001,,,,77216,,90260,http://egis3.lacounty.gov/lms/?p=77216,publish,33.8947,-118.3648,2015/11/16 18:53:23+00,guzmanp@centinela.k12.ca.us,,6450960.14749996,1784260.27033889
-118.353120056352,33.9627499666418,68273,DOE Public Schools,19643520128496,Education,Private and Charter Schools,,Centinela Valley Union High,New Opportunities Charter,110 South La Brea Avenue Suite 305A,,Inglewood,CA,,(310) 355-0001,,,,77217,,90301,http://egis3.lacounty.gov/lms/?p=77217,publish,33.96275,-118.35312,2015/11/16 18:53:23+00,guzmanp@centinela.k12.ca.us,,6454591.79935738,1809012.38290806
-117.983530057347,34.1394799667955,68353,DOE Public Schools,19644690128736,Education,Private and Charter Schools,,Duarte Unified,Opportunities for Learning - Duarte,1008 Huntington Drive,,Duarte,CA,,(626) 921-8200,www.emsofl.com,,,77297,,91010,http://egis3.lacounty.gov/lms/?p=77297,publish,34.13948,-117.98353,2015/11/16 18:53:23+00,btoomey@ofy.org,,6566654.08802764,1873140.22381222
-117.216730058354,34.0678599678497,68479,DOE Public Schools,19645841996305,Education,Private and Charter Schools,,Gorman Elementary,Gorman Learning Center,1826 Orange Tree Lane,,Redlands,CA,,(909) 307-6312,www.gormanlc.org,,,77423,,92374,http://egis3.lacounty.gov/lms/?p=77423,publish,34.06786,-117.21673,2015/11/16 18:53:23+00,ahawkins@gormanlc.org,,6798885.63734314,1848000.2156934
-118.354210056482,33.9200999669774,68481,DOE Public Schools,19645920100354,Education,Private and Charter Schools,,Hawthorne,Hawthorne Math and Science Academy,4467 West Broadway,,Hawthorne,CA,,(310) 973-8184,www.hawthornemsa.org,,,77425,,90250,http://egis3.lacounty.gov/lms/?p=77425,publish,33.9201,-118.35421,2015/11/16 18:53:23+00,eberumen@hawthorne.k12.ca.us,,6454206.57965539,1793492.36604789
-118.352200056268,33.953309966962,68495,DOE Public Schools,19646340101667,Education,Private and Charter Schools,,Inglewood Unified,Wilder's Preparatory Academy Charter,830 North La Brea Avenue,,Inglewood,CA,,(310) 671-5578,www.wildersprepk-8.com,,,77439,,90302,http://egis3.lacounty.gov/lms/?p=77439,publish,33.95331,-118.3522,2015/11/16 18:53:23+00,rrobinson@wpacs.org,,6454858.73779988,1805576.00559448
-118.352200056268,33.953309966962,68496,DOE Public Schools,19646340116822,Education,Private and Charter Schools,,Inglewood Unified,Wilder's Preparatory Academy Charter Middle School,830 North La Brea Avenue,,Inglewood,CA,,(310) 671-5578,www.wildersprepk.8.com,,,77440,,90302,http://egis3.lacounty.gov/lms/?p=77440,publish,33.95331,-118.3522,2015/11/16 18:53:23+00,rrobinson@wpacs.org,,6454858.73779988,1805576.00559448
-118.33209005583,33.9313499669466,68497,DOE Public Schools,19646340119552,Education,Private and Charter Schools,,Inglewood Unified,Today's Fresh Start Charter School Inglewood,3405 West Imperial Highway,,Inglewood,CA,,(310) 680-7599,,,,77441,,90303,http://egis3.lacounty.gov/lms/?p=77441,publish,33.93135,-118.33209,2015/11/16 18:53:23+00,drjeanetteparker@aol.com,,6460931.06620638,1797563.56230181
-118.354610056309,33.9580599672422,68498,DOE Public Schools,19646340120303,Education,Private and Charter Schools,,Inglewood Unified,ICEF Inglewood Elementary School Charter Academy,434 South Grevillea Avenue,,Inglewood,CA,,(323) 298-6420,http://icefla.org/,,,77442,,90301,http://egis3.lacounty.gov/lms/?p=77442,publish,33.95806,-118.35461,2015/11/16 18:53:23+00,sowens@icefps.org,,6454133.95906572,1807307.19242081
